,titulo,preco_original,desconto_percentual,preco_com_desconto,quantidade_vendida,marca,material,genero,temporada,nota_satisfacao,quantidade_avaliações
85,Kit 4 Cuecas Box Boxer Lupo Sem Costura Microfibra Masculina,R$ 110.16,0%,R$ 110.16,25,Lupo,Microfibra,Masculino,Primavera-verão Outono-inverno,4.1,2
86,Kit 3 Cuecas Box Boxer Longleg Sem Costura Adulto Lupo,R$ 125.90,0%,R$ 125.90,5,Lupo,Poliamida,Masculino,Primavera/Verão,3.1,7
87,Kit 10 Cuecas Boxer Lupo Cueca Box Algodão Masculina Atacado,R$ 274.81,18%,R$ 232.89,10000,Lupo,Algodão,Masculino,Outono/Inverno,3.1,3036
88,Kit 6 Cuecas Box Boxer Lupo Sem Costura Masculina Microfibra,R$ 220.66,20%,R$ 183.88,1000,Lupo,Microfibra,Masculino,Primavera/Verão,4.8,325
89,Kit 2 Cuecas Boxer Lupo Basic Microfibra Sem Costura Box,R$ 90.99,30%,R$ 69.99,10000,Lupo,Microfibra,Masculino,Primavera/Verão,3.1,1429
90,Kit 4 Cuecas Box Sem Costura Boxer Lupo Microfibra Original,R$ 137.44,12%,R$ 122.71,5000,Lupo,Microfibra,Masculino,Primavera-verão Outono-inverno,4.8,787
91,Faixa De Cabelo Lupo Sport Fitness Yoga Pilates 15010-001,R$ 41.57,0%,R$ 41.57,500,Lupo,N/A,Feminino,N/A,4.9,45
92,2 Máscara De Proteção Lupo Dupla Camada Reutilizável Lavável,R$ 52.78,34%,R$ 39.39,1000,Lupo,N/A,N/A,N/A,4.9,52
93,Kit Com 10 Cuecas Boxer Micromodal Confortável Maciez Lupo,R$ 341.90,0%,R$ 341.90,5,Lupo,Modal,Masculino,Primavera/Verão,Sem avaliação,0
94,Kit 10 Cueca Boxer Lupo Sunga Box Algodão 100% Original,R$ 321.75,30%,R$ 247.50,100,Lupo,Algodão,Masculino,Outono/Inverno,4.7,26
95,Kit 10 Cuecas Boxer Lupo Cueca Box Algodão Atacado Original,R$ 242.66,11%,R$ 218.61,1000,Lupo,Algodão,Masculino,Outono/Inverno,3.1,78
96,Combo De 10 Cuecas Original Lupo Algodão Cotton Cor Sortida,R$ 186.35,0%,R$ 186.35,100,Lupo,Algodão Cotton,Masculino,Primavera-verão - Outono-Inverno,4.3,19
97,Pacote De 4 Cuecas Box Lupo Tamanhos Especiais Até Tam 64,R$ 107.27,0%,R$ 107.27,50,Lupo,Algodão,Masculino,Primavera-verão Outono-inverno,3.1,15
98,Kit 6 Cuecas Box Sem Costura Boxer Lupo Microfibra Original,R$ 211.14,15%,R$ 183.60,1000,Lupo,Microfibra,Masculino,Primavera/Verão,4.7,76
